Professor,Average Rating,Number of Courses
"Petkie, Douglas",3.7242187500000004,8
"Pollard, Benjamin",4.6,1
"Stroe, Izabela",4.276092529296875,15
"Quimby, Richard",4.319549560546875,15
"Trubko, Raisa",4.025,4
"Zozulya, Alex",3.803515625,11
"Medich, David",4.5874878495641385,44
"Balistrieri, Thomas",4.516666666666667,246
"Doyle, James",4.1927734375,10
"Skorinko, Jeanine",4.439648437500001,10
"Rodriguez, Angela",4.66171875,8
"Shaw, Stacy",4.80625,5
"Gottlieb, Roger",4.100000000008731,252
"Sanbonmatsu, John",4.066015625,118
"Richardson, Carolyn",4.3,1
"McWeeny, Jennifer",4.199999999945915,146
"Lewin, Gregory",4.2640625,8
"Bertozzi, Nicholas",4.70452880859375,16
"Agheli Hajiabadi, Mohammad Mahdi",4.1033203125,10
"Gennert, Michael",3.7750121116638184,23
"Popovic, Marko",2.1468202300718984,35
"Xiao, Jing",3.800390625,11
"Radzicki, Michael",3.8189941406249996,14
"Matos-Nin, Ingrid",4.681298828125,12
"Munoz Marquez, Lina",4.7,1
"Warren, Maria",3.8687500000000004,6
"D'Ambrosio, Olivia",4.8,1
"Giapoudzi, Despoina",4.999999999665306,83
"Lessing, Shana",4.14639241695404,23
"Lewis, Kevin",4.662499884764353,125
"deWinter, Jennifer",3.545166015625,12
"Telliel, Yunus",4.3749999999716245,204
"Muscolino, Stephen",4.4,1
"Faber, Brenton",4.574999999895226,143
"Madan, Ryan",4.55654296875,12
"Runstrom, Scott",4.75,3
"Brahimi, Mohamed",4.325,58
"Sweeney, Kevin",4.106249999999999,6
"Dick, Frank",4.3765624999999995,9
"Yang, Jun",3.1609375,7
"Fofana, Mustapha",2.4328125,10
"Demetriou, Michael",3.7205131530761717,19
"Lados, Diana",3.46875,6
"Reinhardt, Jo Ellen",4.649999998509884,51
"Farzinmoghadam, Mohamad",3.6062988519785,54
"Van Dessel, Steven",2.75,5
"Robinson, Matthew",4.15,2
"Elovitz, Kenneth",4.025,3
"Robinson, Clyde",4.35,3
"Evans, Nicholas",4.99609249830246,27
"Karantzoulidis, Cynthia",4.9875,5
"Skiles, Jack",4.968747702240944,26
"Oates, Karen",3.3499999999999996,4
"Politz, Samuel",2.8,3
"Mathews, Lauren",3.972900390625,12
"Dominko, Tanja",4.187109375,9
"Shell, Scarlet",4.36834716796875,14
"Manning, Amity",4.448516845703125,15
"Ryder, Elizabeth",4.688720703125,13
"Farny, Natalie",4.935546875,12
"Adams, David",4.824206542968749,14
"Korkin, Dmitry",3.74892578125,11
"Kong, Xiangnan",4.242358398437499,13
"Harrison, Lane",4.940287780761719,17
"Ji, Songbai",3.6171875,7
"Albrecht, Dirk",4.0833984375,10
"Lee, Kwonmoo",3.75,4
"Pins, George",4.2375,6
"Mendelson, Yitzhak",2.9794921875,12
"Whittington, Catherine",4.0375,4
"Butler, Tiffiny",4.2189376831054695,17
"Cornwell, Kevin",4.3,2
"Leal, Michael",3.7,1
"Hera, Adriana",4.5,1
"Flegal, Matthew",4.95,3
"Wen, Qi",4.47265625,13
"Wulf, Sharon",4.244140625,9
"Miller, David",3.6062499999999997,9
"Koutmos, Dimitrios",4.48125,5
"Sarkis, Joseph",4.256640625,9
"Doremus, Scott",4.28125,6
"Appari, Ajit",3.6375,6
"Djamasbi, Soussan",3.9556640625,11
"Shah, Purvi",4.0125,5
"McKenna, James",4.6,2
"Delvy, Paul",4.47373046875,11
"Kasouf, Chickery",4.35,2
"Gosselin, Craig",3.9000000000000004,3
"Zhu, Joe",4.232763671875,12
"Kasireddy, Varun",3.45,2
"Hall, John",3.425,4
"Salazar, Guillermo",4.15625,6
"Marrone, Paul",3.025,3
"Plummer, Jeanine",4.8,2
"Bergendahl, John",4.29453125,8
"Beverly, Bruce",3.8,1
"Bates, Wayne",3.98125,8
"Horton, William",2.916796875,11
"Lagasse, Karen",4.158251953125,13
"Mavor, David",4.261656796932221,24
"Olsen, Carissa",3.7437500000000004,7
"Wijerathna, Sanath",3.355036687850952,26
"Shigemoto, Austin",4.2984375,8
"Gericke, Arne",4.403124999999999,8
"Kaminski, George",3.407568359375,13
"F, Destin",4.0,2
"MacDonald, John",4.266406249999999,10
"Pavlik, James",3.825,3
"Mattson, Anita",4.4488281249999995,9
"Arguello, Jose'",3.4210937500000003,9
"Scarlata, Suzanne",3.274658203125,12
"Young, Eric",4.52109375,8
"Clark, William",4.2125,4
"Wilcox, Jennifer",4.637499999999999,4
"Roberts, Susan",3.9,3
"Teixeira, Andrew",3.8578124999999996,7
"Starr, Thomas",4.481249999999999,5
"Kazantzis, Nikolaos",4.1726318359375,13
"Stewart, Elizabeth",4.07275390625,11
"Timko, Michael",4.450390625000001,9
"Datta, Ravindra",3.8875,4
"Partopour, Behnam",4.4,5
"Cheng, Anna",4.5,3
"Lauer, Hugh",3.575,4
"Hamel, Glynis",3.63125,5
"Ciaraldi, Michael",4.500000000093133,86
"Loi, Hao",3.9,2
